Latitude,Longitude,Company
"29° 41' 56.20"" S","51° 13' 25.40"" W",Mobile-1
"31° 44' 04.55"" S","52° 12' 56.48"" W",Mobile-1
"28° 52' 30.00"" S","52° 25' 34.00"" W",Mobile-1
"29° 17' 42.00"" S","52° 25' 30.50"" W",Mobile-1
"30° 12' 44.00"" S","57° 33' 08.00"" W",Mobile-1
"29° 22' 32.09"" S","51° 30' 00.81"" W",Mobile-1
"27° 40' 31.00"" S","51° 27' 20.00"" W",Mobile-1
"28° 18' 00.80"" S","51° 27' 44.50"" W",Mobile-1
"29° 09' 14.00"" S","51° 30' 24.00"" W",Mobile-1
"30° 01' 46.96"" S","51° 11' 14.10"" W",Mobile-1
"29° 36' 08.84"" S","51° 56' 19.63"" W",Mobile-1
"30° 17' 40.00"" S","51° 18' 08.00"" W",Mobile-1
"29° 52' 07.72"" S","51° 42' 37.51"" W",Mobile-1
"30° 05' 17.80"" S","51° 19' 28.12"" W",Mobile-1
"29° 32' 46.93"" S","51° 35' 25.51"" W",Mobile-1
"29° 35' 23.00"" S","51° 55' 42.04"" W",Mobile-1
"30° 01' 46.63"" S","51° 14' 00.13"" W",Mobile-1
"29° 40' 21.75"" S","51° 10' 00.30"" W",Mobile-1
"29° 07' 34.30"" S","51° 10' 57.70"" W",Mobile-1
"30° 01' 35.40"" S","51° 13' 38.90"" W",Mobile-1
"29° 39' 15.40"" S","51° 00' 16.30"" W",Mobile-1
"29° 55' 49.50"" S","51° 01' 58.44"" W",Mobile-1
"29° 06' 05.00"" S","51° 32' 45.00"" W",Mobile-1
"30° 03' 52.06"" S","51° 12' 40.72"" W",Mobile-1
"29° 52' 57.40"" S","51° 05' 13.02"" W",Mobile-1
"30° 03' 24.41"" S","51° 13' 21.65"" W",Mobile-1
"28° 39' 25.83"" S","55° 59' 50.81"" W",Mobile-1
"29° 16' 39.18"" S","51° 29' 47.69"" W",Mobile-1
"29° 58' 28.14"" S","51° 10' 36.22"" W",Mobile-1
"30° 00' 26.68"" S","51° 10' 48.43"" W",Mobile-1
"30° 07' 04.50"" S","51° 57' 47.80"" W",Mobile-1
"31° 24' 29.39"" S","52° 40' 09.17"" W",Mobile-1
"29° 46' 53.30"" S","51° 51' 14.30"" W",Mobile-1
"31° 37' 49.95"" S","51° 25' 16.18"" W",Mobile-1
"28° 14' 54.01"" S","52° 15' 55.67"" W",Mobile-1
"30° 01' 28.02"" S","51° 11' 26.20"" W",Mobile-1
"27° 39' 49.80"" S","54° 06' 26.70"" W",Mobile-1
"28° 14' 30.67"" S","52° 25' 40.09"" W",Mobile-1
"30° 01' 50.23"" S","51° 13' 35.98"" W",Mobile-1
"28° 33' 52.93"" S","53° 43' 25.81"" W",Mobile-1
"29° 20' 57.00"" S","51° 41' 16.00"" W",Mobile-1
"27° 41' 44.00"" S","53° 18' 41.00"" W",Mobile-1
"29° 41' 50.05"" S","51° 07' 27.95"" W",Mobile-1
"30° 00' 02.12"" S","51° 11' 55.28"" W",Mobile-1
"28° 39' 00.01"" S","56° 00' 20.40"" W",Mobile-1
"28° 21' 50.15"" S","53° 46' 39.47"" W",Mobile-1
"29° 41' 24.00"" S","53° 49' 09.00"" W",Mobile-1
"30° 01' 44.80"" S","51° 10' 53.80"" W",Mobile-1
"30° 00' 59.72"" S","51° 11' 43.15"" W",Mobile-1
"30° 01' 41.00"" S","51° 12' 14.00"" W",Mobile-1
"29° 10' 28.00"" S","51° 13' 08.00"" W",Mobile-1
"29° 42' 10.00"" S","53° 48' 43.10"" W",Mobile-1
"29° 30' 42.30"" S","51° 48' 37.70"" W",Mobile-1
"31° 32' 16.27"" S","53° 42' 43.70"" W",Mobile-1
"29° 41' 54.10"" S","53° 49' 54.10"" W",Mobile-1
"29° 10' 28.30"" S","54° 52' 12.69"" W",Mobile-1
"32° 47' 50.57"" S","52° 40' 31.37"" W",Mobile-1
"30° 02' 05.92"" S","51° 11' 22.38"" W",Mobile-1
"29° 54' 56.72"" S","51° 10' 46.79"" W",Mobile-1
"30° 01' 51.00"" S","51° 13' 36.00"" W",Mobile-1
"29° 42' 34.00"" S","51° 49' 03.00"" W",Mobile-1
"29° 52' 15.40"" S","54° 49' 51.90"" W",Mobile-1
"30° 03' 53.21"" S","51° 11' 08.70"" W",Mobile-1
"32° 10' 43.97"" S","52° 09' 40.00"" W",Mobile-1
"29° 43' 04.60"" S","52° 25' 31.40"" W",Mobile-1
"29° 53' 03.00"" S","55° 35' 38.00"" W",Mobile-1
"29° 09' 54.97"" S","51° 09' 47.99"" W",Mobile-1
"28° 22' 46.99"" S","54° 04' 31.98"" W",Mobile-1
"29° 55' 23.23"" S","51° 00' 42.80"" W",Mobile-1
"28° 53' 23.60"" S","53° 00' 16.10"" W",Mobile-1
"29° 42' 00.20"" S","53° 43' 15.70"" W",Mobile-1
"29° 59' 52.91"" S","51° 08' 49.60"" W",Mobile-1
"29° 40' 16.00"" S","51° 03' 03.00"" W",Mobile-1
"29° 40' 47.30"" S","51° 03' 35.80"" W",Mobile-1
"28° 07' 57.97"" S","51° 23' 19.00"" W",Mobile-1
"30° 13' 40.98"" S","54° 40' 22.98"" W",Mobile-1
"30° 01' 14.56"" S","51° 11' 13.38"" W",Mobile-1
"30° 47' 24.00"" S","53° 36' 49.00"" W",Mobile-1
"30° 02' 22.00"" S","52° 54' 20.00"" W",Mobile-1
"31° 36' 49.79"" S","52° 30' 09.07"" W",Mobile-1
"29° 56' 31.00"" S","52° 56' 59.00"" W",Mobile-1
"31° 04' 14.70"" S","53° 34' 01.20"" W",Mobile-1
"31° 32' 46.00"" S","53° 42' 55.98"" W",Mobile-1
"29° 45' 49.97"" S","57° 04' 09.98"" W",Mobile-1
"30° 10' 36.00"" S","50° 12' 22.00"" W",Mobile-1
"30° 11' 29.00"" S","50° 12' 45.00"" W",Mobile-1
"30° 15' 55.98"" S","52° 51' 29.99"" W",Mobile-1
"29° 42' 15.20"" S","53° 42' 49.10"" W",Mobile-1
"29° 10' 28.79"" S","51° 23' 56.15"" W",Mobile-1
"29° 41' 37.00"" S","50° 08' 01.97"" W",Mobile-1
"30° 02' 02.91"" S","51° 11' 27.21"" W",Mobile-1
"28° 48' 16.00"" S","51° 05' 42.00"" W",Mobile-1
"30° 52' 27.72"" S","55° 32' 03.86"" W",Mobile-1
"29° 48' 22.90"" S","51° 07' 44.60"" W",Mobile-1
"30° 01' 31.28"" S","51° 11' 50.99"" W",Mobile-1
"30° 10' 51.00"" S","55° 06' 08.00"" W",Mobile-1
"29° 21' 43.00"" S","50° 48' 44.00"" W",Mobile-1
"29° 54' 20.81"" S","51° 13' 28.01"" W",Mobile-1
"28° 34' 59.99"" S","55° 37' 25.97"" W",Mobile-1
"27° 45' 53.60"" S","52° 00' 17.40"" W",Mobile-1
"29° 53' 03.54"" S","50° 15' 52.36"" W",Mobile-1
"30° 09' 41.69"" S","50° 12' 09.47"" W",Mobile-1
"30° 01' 35.00"" S","51° 12' 13.25"" W",Mobile-1
"30° 10' 30.00"" S","52° 15' 27.00"" W",Mobile-1
"29° 59' 51.04"" S","51° 06' 53.71"" W",Mobile-1
"29° 41' 57.00"" S","51° 19' 21.00"" W",Mobile-1
"30° 34' 48.00"" S","51° 44' 39.00"" W",Mobile-1
"31° 23' 16.00"" S","52° 40' 60.00"" W",Mobile-1
"27° 56' 57.40"" S","52° 00' 53.00"" W",Mobile-1
"29° 08' 53.20"" S","56° 33' 03.70"" W",Mobile-1
"30° 00' 45.36"" S","51° 09' 58.82"" W",Mobile-1
"29° 57' 00.60"" S","51° 06' 00.00"" W",Mobile-1
"27° 55' 22.00"" S","53° 56' 22.00"" W",Mobile-1
"33° 41' 24.50"" S","53° 27' 19.70"" W",Mobile-1
"30° 43' 26.85"" S","52° 00' 31.34"" W",Mobile-1
